"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2459",".click() - click on a DOM element","","2026-07-10","passed","2026-07-10","","Actions","",""
"","100","assert - assert shape of an object","Assertions","2026-07-10","passed","2026-07-10","","Explicit Assertions","",""
"","263","cy.hash() - get the current URL hash","","2026-07-10","passed","2026-07-10","","Location","",""
"","1777","Submitting form with credentials","","2026-07-10","passed","2026-07-10","","Example feature","",""
"","923","cy.go() - go back or forward in the browser's history","","2026-07-10","passed","2026-07-10","","Navigation","",""
"","193","can check off an item as completed","","2026-07-10","passed","2026-07-10","","example to-do app","",""
"","432","can add new todo items","","2026-07-10","passed","2026-07-10","","example to-do app","",""
"","103","matches unknown text between two elements","Assertions","2026-07-10","passed","2026-07-10","","Explicit Assertions","",""
"","999",".select() - select an option in a <select> element","","2026-07-10","passed","2026-07-10","","Actions","",""
"","1594","retries the should callback until assertions pass","Assertions","2026-07-10","passed","2026-07-10","","Explicit Assertions","",""
"","108","pass your own callback function to should()","Assertions","2026-07-10","passed","2026-07-10","","Explicit Assertions","",""
"","266","can delete all completed tasks","example to-do app","2026-07-10","passed","2026-07-10","","with a checked task","",""
"","324",".should() - make an assertion about the current subject","Assertions","2026-07-10","passed","2026-07-10","","Implicit Assertions","",""
"","90","cy.url() - get the current URL","","2026-07-10","passed","2026-07-10","","Location","",""
"","100","cy.location() - get window.location","","2026-07-10","passed","2026-07-10","","Location","",""
"","347","cy.visit() - visit a remote url","","2026-07-10","passed","2026-07-10","","Navigation","",""
"","105","expect - make an assertion about a specified subject","Assertions","2026-07-10","passed","2026-07-10","","Explicit Assertions","",""
"","436","cy.reload() - reload the page","","2026-07-10","passed","2026-07-10","","Navigation","",""
"","341","displays two todo items by default","","2026-07-10","passed","2026-07-10","","example to-do app","",""
"","981",".uncheck() - uncheck a checkbox element","","2026-07-10","passed","2026-07-10","","Actions","",""
"","250",".trigger() - trigger an event on a DOM element","","2026-07-10","passed","2026-07-10","","Actions","",""
"","291","can filter for completed tasks","example to-do app","2026-07-10","passed","2026-07-10","","with a checked task","",""
"","120",".and() - chain multiple assertions together","Assertions","2026-07-10","passed","2026-07-10","","Implicit Assertions","",""
"","2916","cy.viewport() - set the viewport size and dimension","","2026-07-10","passed","2026-07-10","","Viewport","",""
"","2277","cy.scrollTo() - scroll the window or element to a position","","2026-07-10","passed","2026-07-10","","Actions","",""
"","217",".scrollIntoView() - scroll an element into view","","2026-07-10","passed","2026-07-10","","Actions","",""
"","4534","cy.wait() - wait for a specific amount of time","","2026-07-10","passed","2026-07-10","","Waiting","",""
"","111","finds element by class name regex","Assertions","2026-07-10","passed","2026-07-10","","Explicit Assertions","",""
"","281","can filter for uncompleted tasks","example to-do app","2026-07-10","passed","2026-07-10","","with a checked task","",""
"","100","can throw any error","Assertions","2026-07-10","passed","2026-07-10","","Explicit Assertions","",""
"","487","cy.wait() - wait for a specific route","","2026-07-10","passed","2026-07-10","","Waiting","",""
"","958",".check() - check a checkbox or radio element","","2026-07-10","passed","2026-07-10","","Actions","",""
"","239",".dblclick() - double click on a DOM element","","2026-07-10","passed","2026-07-10","","Actions","",""
"","245",".rightclick() - right click on a DOM element","","2026-07-10","passed","2026-07-10","","Actions","",""
