"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 05:15:44 GMT 2024","Wed Feb 28 05:15:44 GMT 2024","288","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Wed Feb 28 05:16:13 GMT 2024","Wed Feb 28 05:16:16 GMT 2024","2884","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Wed Feb 28 05:15:50 GMT 2024","Wed Feb 28 05:15:51 GMT 2024","917","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Wed Feb 28 05:16:24 GMT 2024","Wed Feb 28 05:16:24 GMT 2024","457","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Wed Feb 28 05:15:43 GMT 2024","Wed Feb 28 05:15:43 GMT 2024","406","","example to-do app","","","","can add new todo items",""
"passed","Wed Feb 28 05:15:53 GMT 2024","Wed Feb 28 05:15:54 GMT 2024","227","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Wed Feb 28 05:15:43 GMT 2024","Wed Feb 28 05:15:43 GMT 2024","383","","example to-do app","","","","displays two todo items by default",""
"passed","Wed Feb 28 05:15:52 GMT 2024","Wed Feb 28 05:15:53 GMT 2024","966","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Wed Feb 28 05:15:53 GMT 2024","Wed Feb 28 05:15:53 GMT 2024","201","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Wed Feb 28 05:15:51 GMT 2024","Wed Feb 28 05:15:52 GMT 2024","950","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Wed Feb 28 05:16:10 GMT 2024","Wed Feb 28 05:16:10 GMT 2024","440","","Navigation","","","","cy.reload() - reload the page",""
"passed","Wed Feb 28 05:16:09 GMT 2024","Wed Feb 28 05:16:10 GMT 2024","947","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Wed Feb 28 05:16:00 GMT 2024","Wed Feb 28 05:16:01 GMT 2024","106","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Wed Feb 28 05:15:47 GMT 2024","Wed Feb 28 05:15:50 GMT 2024","2460","","Actions","","","",".click() - click on a DOM element",""
"passed","Wed Feb 28 05:16:10 GMT 2024","Wed Feb 28 05:16:10 GMT 2024","331","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Wed Feb 28 05:15:44 GMT 2024","Wed Feb 28 05:15:44 GMT 2024","284","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Wed Feb 28 05:16:06 GMT 2024","Wed Feb 28 05:16:06 GMT 2024","79","","Location","","","","cy.url() - get the current URL",""
"passed","Wed Feb 28 05:16:00 GMT 2024","Wed Feb 28 05:16:00 GMT 2024","113","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Wed Feb 28 05:16:01 GMT 2024","Wed Feb 28 05:16:01 GMT 2024","106","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Wed Feb 28 05:16:01 GMT 2024","Wed Feb 28 05:16:02 GMT 2024","1575","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Wed Feb 28 05:15:50 GMT 2024","Wed Feb 28 05:15:50 GMT 2024","219","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Wed Feb 28 05:15:38 GMT 2024","Wed Feb 28 05:15:39 GMT 2024","1750","","Example feature","","","","Submitting form with credentials",""
"passed","Wed Feb 28 05:16:06 GMT 2024","Wed Feb 28 05:16:06 GMT 2024","97","","Location","","","","cy.location() - get window.location",""
"passed","Wed Feb 28 05:16:00 GMT 2024","Wed Feb 28 05:16:00 GMT 2024","389","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Wed Feb 28 05:16:19 GMT 2024","Wed Feb 28 05:16:24 GMT 2024","4558","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Wed Feb 28 05:15:50 GMT 2024","Wed Feb 28 05:15:50 GMT 2024","203","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Wed Feb 28 05:15:44 GMT 2024","Wed Feb 28 05:15:44 GMT 2024","285","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Wed Feb 28 05:16:00 GMT 2024","Wed Feb 28 05:16:00 GMT 2024","116","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Wed Feb 28 05:16:06 GMT 2024","Wed Feb 28 05:16:06 GMT 2024","274","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Wed Feb 28 05:16:00 GMT 2024","Wed Feb 28 05:16:00 GMT 2024","108","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Wed Feb 28 05:15:54 GMT 2024","Wed Feb 28 05:15:56 GMT 2024","2167","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Wed Feb 28 05:15:43 GMT 2024","Wed Feb 28 05:15:44 GMT 2024","198","","example to-do app","","","","can check off an item as completed",""
"passed","Wed Feb 28 05:16:01 GMT 2024","Wed Feb 28 05:16:01 GMT 2024","100","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Wed Feb 28 05:16:01 GMT 2024","Wed Feb 28 05:16:01 GMT 2024","104","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
